idBuku,judulBuku,tipe,penerbit,tahun,deskripsi
269.0,Teks Atlas Berwarna Patofisiologi,Buku,EGC,2007,"Buku ini menjelasan suhu, energi, darah, pernapasan, keseimbangan asam-basa, lambung, usus, hati, jantung & sirkulasi, hormon dsb."
296.0,Metodologi Penelitian Kuantitatif ; Teoretik dan Praktik,Buku,Rajawali Press,2022,"Buku ini membahas penelitian yang diawali dengan penelaahan berbagai variabel yang akan diteliti, pengajuan rumusan masalah, dan hipotesis penelitian. Didasarkan atas variabel penelitian, masalah, dan hipotesis peneliti dapat memilih pendekatan penelitian yang akan dilakukan, menentukan populasi dan sampel penelitian, penyusunan instrumen atau kuesioner serta uji coba instrumen tersebut, persiapan pengumpulan data di lapangan, analisis data dan pembahasan hasil penelitian."
299.0,Bank dan Lembag Keuangan Syariah Lainnya,Text,Unknown,2016,"Judul : Bank Dan Lembaga Keuangan Syariah LainnyarnPengarang : MuhammadrnEdisi : Edisi Pertama, Cetakan Ke. 1rnPenerbit : Rajawali Pers : Depok, 2020rnDeskripsi Fisik : xxii, 426 hlm.;23 cm.rnISBN : 978-623-231-029-2rnrnrnrnrnAbstrak Indikatif : rnDi awali dengan berdirinya Bank Muamalah Indonesia, yang eksistensinya menunjukkan ketangguhannya selama masa krisis ekonomi tahun 1998, maka keberadaan bank ini telah mendorong tumbuh dan kembangnya lembaga keuangan syariah lainnya. Lembaga keuangan syariah baik bank syariah maupun bukan bank masih terus berkembang menunjukkan perannya sebagai bagian dari sistem lembaga keuangan di Indonesia. Hanya saja, untuk mendorong pertumbuhannya Lembaga Keuangan Syariah masih membutuhkan sosialisasi yang masif di kalangan masyarakat Indonesia.rnSistem dan nilai ekonomi Islam dalam Lembaga Keuangan Syariah merupakan hal penting yang mendasari aktivitas lembaga keuangan syariah. Eksistensi Lembaga Keuangan Syariah semakin menguat setelah terbitnya berbagai regulasi mutakhir yang didukung oleh Fatwa DSN MUI, Undang-undang Perbankan Syariah atau aturan lembaga keuangan syariah lainnya.rnKata Kunci : Bank Islam, Ekonomi Islam, Asuransi Syariah, Pegadaian Syariah, Koperasi Syariah"
301.0,Manajemen Keuangan :Sebagai Dasar Pengambilan Keputusan Bisnis / Ni Luh Gede Erni Sulindawati,Text,Unknown,2016,"Judul : Manajemen Keuangan : Sebagai Dasar Pengambilan Keputusan BisnisrnPenulis : Ni Luh Gede Erni SulindawatirnEdisi : Edisi 1 Cetakan 1rnPenerbit : Rajawali Pers : Depok, 2017.rnDeskripsi Fisik : xvi, 222 hlm.; 23 cm.rnISBN : 9786024251796rnrnAbstrak Informatif :rnrnManajemen Keuangan adalah keseluruhan aktivitas perusahaan yang berhubungan dengan usaha mendapatkan dana yang diperlukan dengan biaya yang minimal dan syarat-syarat yang paling menguntungkan beserta usaha untuk menggunakan dana tersebut seefisien mungkin.rnPada awalnya manajemen keuangan merupakan kegiatan pembelanjaan perusahaan yang hanya berorientasi pada aktivitas penggunaan dana, sampai saat ini manajemen keuangan berkembang tidak hanya kegiatan penggunaan dana tetapi juga kegiatan mengelola dana agar aktivitas yang dilakukan dapat efisien dan menguntungkan.rnBuku ini dalam pembahasannya terdiri dari 15 bab yang mencakup bab 1 ruang lingkup manajemen keuangan; bab 2 bentuk-bentuk risiko; bab 3 modal kerja; bab 4 manajemen kas; bab 5 manajemen piutang; bab 6 manajemen persediaan; bab 7 nilai waktu dari uang; bab 8 penilaian investasi; bab 9 biaya modal; bab 10 struktur modal; bab 11 politik dividen; bab 12 pasio keuangan; bab 13 investasi dalam surat-surat berharga; bab 14 laporan keuangan dan pembahasan ditutup pada bab 15 laporan arus kas.rnKata Kunci : Manajemen Keuangan, Laporan Keuangan."
312.0,Manajamen Pemasaran,Text,Unknown,2016,"Judul 	: Manajemen PemasaranrnPengarang 	: Sofjan AssaurirnEdisi 	: Cet. 12rnPenerbit 	: Rajawali Perss : Jakarta., 2013rnDeskripsi Fisik 	: x, 450 hlm.; 20 cm.rnISBN 	: 979421115XrnrnrnAbstrak Indikatif :rnPemasaran memainkan peranan yang penting dalam dunia usaha. Pengertian pemasaran tidak dapat dilihat hanya sebagai suatu kegiatan sederhana yaitu pemasaran massal yang menekankan pada kegiatan penjualan, sistim distribusi melalui jaringan penjualan yang sangat luas. Namun pemasaran harus dilihat sebagai suatu penerapan ilmu manajemen. yang mencakup proses pengambilan keputusan yang didasarkan asas konsep pemasaran dan proses manajemen yang mencakup analisis, perencanaan, pelaksanaan kebijakan, strategi dan taktik, dan pengendalian. Dengan kata lain manajemen pemasaran merupakan strategi, pemasaran terpadu (marketing mix strategy) yang amat penting dalam pengelolaan usaha usaha. Tambahan yang tak kalah pentingnya dari semua itu adalah pemasaran juga harus memaksa semua karyawan dalam perusahaan untuk selalu berorientasi kepada pelanggan dan dorongan pasar.rnKata Kunci : Pasar, Konsumen, EkonomirnrnBuku ini sudah disunting dengan perbaikan mencakup pernyataan tanggung jawab, edisi, data koleksi eksemplar, ISBN, deskripsi fisik,  dan gambar sampul."
315.0,Perilaku Organisasi,Text,Rajawali Press,2021,"Judul                       : Perilaku organisasi  rnPengarang	        : Furtasan Ali YusufrnEdisi	                : Ed. 1, Cet. 1rnTerbitan    	        : Depok,Rajawali Pers.; 2022rnDeskripsi Fisik       	: xxii, 323 hlm.; 24 cm.rnISBN	        	: 9786232318571rnrnAbstrak Indikatif :rnPerilaku organisasi berkaitan erat dengan bagaimana orang bertindak dan bereaksi dalam semua jenis organisasi. Dalam kehidupan organisasi, orang dipekerjakan, dididik dan dilatih, diberi informasi,dilindungidan dikembangkankan. Bagi para manajer mempelajari perilaku organisasi dapat membantu memperbaiki, mendorong atau mengubah perilaku kerja, baik individu, kelompok maupun organisasi secara keseluruhan sehingga organisasi dapat mencapai tujuan yang telah ditetapkan.rnKata Kunci : Transformasi Organisasi; Sikap Kerja; Perilaku Kelompok; Teori Organisasi; Kepribadian"
317.0,Metodologi penelitian :populer dan praktis / Widodo,Text,Unknown,2016,"Judul                         : Metodologi penelitian : populer dan praktis   (	                                                                                rnPengarang	          : WidodornEdisi	                  : Ed. 1, Cet. 2rnTerbitan    	          : Depok,Rajawali Pers.; 2018rnDeskripsi Fisik          : xxiv, 301 hlm.; 21 cm.rnISBN		          : 9786024250881rnrnAbstrak Indikatif : rnSalah satu problem besar yang dihadapi kebanyakan mahasiswa adalah menyususn skripsi, tesis atau disertasi. Hal ini disebabkan karena materi dan pross pembeajaran mata kuliah metodologi penelitian tidak memberikan porsi yag cukup memadai.Pedoman penulisan karya ilmiah skripsi, tesis, dan disertasi yang dikeluarkan oleh pihak perguruan tinggi pada umumnya kurang memiliki kemampuan dalam menulis.rnKata Kunci : Format Penulisan; Laporan Penelitian ;  Tinjauan Pustaka ; Kutipan"
320.0,DASAR-DASAR KEUANGAN INTERNASIONAL,Text,PT Raja Grafindo Persada,2014,"Secara keseluruhan buku ini membahas yang berkaitan dengan keuangan internasional seperti perusahaan multinasional dan pentingnya peranan manajemen keuangan, sistem moneter, neraca, aset, valuta, dan investasi portofolio yang dilengkapi dengan teori dan conto-contoh."
326.0,"Pengantar Sistem Informasi Manajemen Rumah Sakit, SIMRS",Buku,Rajawali Press,2019,"Buku ini membahas tentang sistem informasi kesehatan di Indonesia, rumah sakit, kebijakan terkait sistem kesehatan di Indonesia, Dasar-Dasar sistem informasi/teknologi informasi, SIM rumah sakit, dst."
329.0,Etika bisnis & profesi :sebuah pencarian,Buku,Rajawali Pers,2020,"Bibliografi: hlm. 335-342.rnrnBisnis bersifat dinamis dari waktu ke waktu, begitu pula dengan dampaknya pada profesi yang timbul tenggelam seiring dengan banyak jatuhnya korporasi besar karena sebagian penyebabnya adalah “etika” sehingga bermunculan korporasi baru yang menggantikan. Fenomena model bisnis sepuluh tahun yang lalu akan berbeda jauh dengan model yang ada saat ini sehingga akan muncul pola baru, norma dan bentuk  perilaku etis dalam bisnis. Untuk itu kemudian teori-teori dan praktik dalam berbisnis akan menjadi berbeda, sedikit berubah atau bahkan mungkin usang kemudian berubah total dan ditinggalkan. Begitu pula dengan profesi, seperti ramalan banyak orang bahwa sebagian profesi di dunia ini akan menghilang seiring dengan kemajuan teknologi yang berkembang dan hal itu sudah berlangsung saat ini."
332.0,Pasar modal islam :konsepsi dan praktik,Text,RajaGrafindo Persada,2022,Bibliografi halaman 509-515
334.0,Islamic Entrepreneurship :kewirausahaan berbasis pemberdayaan,Buku,Rajawali Press,2022,"Judul : Islamic Entrepreneurship : Kewirausahaan Berbasis Pemberdayaan rnPengarang : Ika Yunia FauziarnEdisi : Edisi Pertama, Cetakan Ke. 1rnPenerbit : Rajawali Pers : Depok, 2019rnDeskripsi Fisik : xxvi, 425 hlm.; 24 cm.rnISBN : 978-602-425-581-7rnrnrnrnAbstrak Indikatif :rnFokus dari bahasan Islamic Entrepreneurship menitikberatkan pada aspek pemberdayaan. Menjadi pembeda antara kewirausahaan secara umum dan secara Islam adalah dalam perspektif Islam, seorang wirausaha harus bisa memberdayakan orang lain. Islamic entrepreneurship selalu berjalan beriringan dengan ethic, commonsence, altruism, integrity, dan lain sebagainnya. Bahkan Islamic entrepreneurship harus bisa adaptif terhadap ceruk baru bisnis yang banyak memanfaatkan perkembangan teknologi.rnBeberapa materi yang dibahas antara lain adalah : (1) Kewirausahaan Islam; (2) Mengidentifikasi Karakter Kewirausahaan; (3) Berubah Menjadi Lebih Baik; (4) Menjadi Kewirausahaan Kreatif; (5) Menemukan Gagasan dan Membangun Sebuah Usaha; (6) Berusaha Secara Halal; (7) Modal dan Pembiayaan Usaha; (8) Pemasaran Usaha Baru.rnKata Kunci: Ekonomi Keuangan-Kewirausahaan, Halal, Pembiayaan Usaha, Perspektif Syariah"
338.0,Pengantar bisnis,Text,Rajawali Pers,2020,"Buku Pengantar Bisnis ini berisikan pengetahuan dasar tentang konsep-konsep bisnis yang jitu, mulai dari pengertian umum tentang ekonomi sampai pada pembahasan seputar perusahaan. Apa saja jenis perusahaan, bagaimana mendirikannya, dan bagaimana mengelolanya, dibahas dengan bahasan dan bahasa sederhana namun mudah dipahami.rnMateri buku merupakan perpaduan antara aplikasi teoretis dengan aplikasi pragmatis dalam dunia usaha saat ini, yang kesemuanya, didaur dari literatur, tulisan hasil seminar, jurnal ilmiah, dan surat kabar.rnBuku ini dapat dijadikan sebagai acuan bagi para mahasiswa dan juga masyarakat umum yang ingin memulai sebuah bisnis."
339.0,Manajemen sumber daya manusia (teori dan praktik),Buku,Rajawali Press,2022,"Buku ini disusun didasarkan teori-teori manajemen sumber daya manusia dan praktik di lapangan serta dikombinasikan dengan pengalaman penilis di berbagai perusahaan, konsultan SDM serta menjadi staf pengajar di beberapa Universitas"
343.0,Ekonomi makro :teori dan kebijakan / I. gusti Ayu Purnamawati,Buku,Rajawali Press,2021,"Abstrak Indikatif : rnDalam ekonomi makro ada lima pelaku utama yang menjalankan kegiatan ekonomi di suatu negara yaitu konsumen, produsen, pemerintah, negara – negara lain dan lembaga keuaangan.Ekonomi makro bersifat umum dan selalu membahas dan menyelesaikan permasalahan secara garis besar saja.Tujuan dari penerapan kebijakan ekonomi makro yaitu dapat menciptakan lapangan pekerjaan, produksi dalam negeri yang tinggi.rnKata Kunci : Bisnis; Produksi; Perekonomian Negara;Pajak; Inflasi"
347.0,Pengantar ekonomi makro,Buku,Rajawali Pers,2022,"Buku Pengantar Ekonomi Makro ini, memiliki kajian yang cukup unik dari buku pengantar ekonomi makro lainnya, selain melakukan analisis dengan pendekatan kuantitatif untuk memudahkan pembaca dalam mengambil suatu keputusan juga mencakup indikator-indikator penting dalam makroekonomi, sehingga memudahkan pembaca dalam memahami kondisi makroekonomi.rnBuku ini terdiri dari 13 bab pembahasan, yakni Bab 1 Pendahuluan yang merupakan sebagai pembuka awal bab dari buku ini; Bab 2 Membahas tentang Ruang Lingkup Ekonomi Makro; Bab 3 Perkembangan Teori Ekonomi Sebagai Penentu Kegiatan Ekonomi; Bab 4 Pendapatan Nasional; Bab 5 Perhitungan Pendapatan Nasional; Bab 6 Inflasi; Bab 7 Pengangguran; Bab 8 Neraca Pembayaran Internasional; Bab 9 Uang dan Bank; Bab 10 Bank Sentral, Otoritas Jasa Keuangan dan Lembaga Penjamin Simpanan; Bab 11 Pengantar Kurva IS-LM; Bab 12 Pertumbuhan Ekonomi dan Pembangunan Ekonomi; Bab 13 Perdagangan Internasional."
349.0,Ekonomi mikro Islami,Text,Rajawali Pers,2022,"Pembicaraan mengenai ekonomi Islam bukan hanya terbatas pada soal bank syariah saja, namun harus mencakup pula ekonomi makro, ekonomi mikro, kebijakan moneter, kebijakan fiscal, pembiayaan public hingga konsep pembangunan. Ini karena ekonomi Islam, yang bukan sebagai titik tengah antara kapitalisme dan sosialisme, mempunyai karakter yang tersendiri, meski masih terdapat kesamaan tertentu dalam mekanismenya dengan ekonomi konvensional.rnDalam buku ini, Penulis menggali kembali konsep, variabel, dan teori-teori ekonomi yang telah diidentifikasi oleh para pemikir ekonomi Muslim, seperti Ibn Taimiyyah, Ibn Khaldun, Al-Ghazali, dan sebagainya, di mana pemikirannya masih sangat relevan dengan ekonomi modern.rnBuku ini juga memberikan jawbaan atas berbagai pertanyaan dan konsep ekonomi Islam, seperti mengapa riba memiliki hubungan terbalik dengan sedekah? Mengapa sistem bagi hasil lebih menguntungkan dari sistem bunga? Apakah monopoli dibolehkan dalam Islam? Mengapa zakat tidak mengurangi margin laba?rnBuku yang hadir di tengah-tengah para pembaca ini merupakan edisi kelima dari buku Ekonomi Mikro Islami. Dibandingkan dengan edisi-edisi sebelumnya, buku ini telah mengalami perubahan. Untuk beberapa bab kami lengkapi penambahan materi intermediate berupa Apendiks terhadap Bab 3 yang membahas mengenai asumsi rasionalitas dalam ilmu ekonomi dan Bab 11 mengenai manipulasi pasar dalam perdagangan saham yang merupakan bagian dari tema Distorsi Pasar dalam Islam.rnrnBibliografi halaman 313-318."
357.0,Etika Bisnis Islam Era 5.0,Buku,Rajawali Press,2021,"Abstrak Indikatif :rnEtika bisnis Islam yang bahasannya adalah Trancendental Trust menjelaskan satu gambaran utama bahwa bisnis Islam harus selalu adaptif menerima perubahan, baik perubahan teknologi, perubahan sumber daya insani, perubahan karakteristik konsumen dan lain sebagainya. Dengan mempertimbangkan good governance dan tanggung jawab sosial dalam bisnis syariah.rnBeberapa materi yang di bahas diantaranya adalaha 1. Revolusi industri dari masa ke masa; 2. Etika dan akhlak dalam bisnis Islam; 3. Tauhid sebagai pondasi dalam bisnis Islam; 4. Relevansi antara etika bisnis Islam; 5. Etika bisnis Islam dalam produksi distribusi dan konsumsi.rnKata Kunci : Revolusi Digital, Konteks Bisnis, Layanan Jasa"
364.0,Pendidikan kewirausahaan dari teori ke aplikasi model patriot sejati,Buku,Rajawali Press,2018,"Buku ini merupakan salah satu dari seri buku pengembangan budaya kewirausahaan yang memaparkan kajian teori dan implementasinya dalam praktek berwirausaha di lapangan yang dipaparkan dalam 5 bagian. Bagian pertama buku ini memaparkan esensi pendidikan kewirausahaan untuk menjawab pertanyaan: apa, mengapa, bagaimana, dan untuk apa berwirausaha, serta perangkat kompetensi wirausaha dan alternatif model pendidikannya.rnrnBagian kedua buku ini membahas model teoretik pendidikan wirausaha, mulai dari konstruk teoretik, metode kerja operasional, sampai pada penerapannya ke dalam model PATRIOT.rnrnBagian ketiga memaparkan kajian empirik pendidikan kewirausahaan di dunia usaha dan industri (DUDI).rnrnBagian keempat memberikan gambaran tentang standar operasional pendidikan kewirausahaan di perguruan tinggi dan pemanfaatan teknologi-multimedia dalam Pendidikan Kewirausahaan."
371.0,PERILAKU KONSUMEN,Buku,Rajawali Pers,2019,"Pendidikan konsumen adalah penerapan konsep pendidikan di dalam bidang berkonsumsi dalam meningkatkan pengetahuan, kesadaran, dan keterampilan dalam mengambil keputusan yang bijaksana dan bertanggung jawab dalam mengonsumsi barang dan jasa, serta kesadaran konsumen akan perilaku positif dan cinta tanah air misalnya budaya, teliti, waspada, hemat, cermat, bersahaja, kritis, berkomunikasi yang santun dan efektif, analitis, kreatif, inovatif, produktif, cinta dan mau mengembangkan produk dalam negeri.rnrnSalah satu kunci keberhasilan bagi pelaku usaha dan konsumen adalah memahami konsep pendidikan konsumen yang secara rinci dipaparkan dalam perilaku konsumen. Karena perilaku konsumen merupakan hal-hal yang mendasari konsumen untuk mengambil keputusan dalam membeli barang atau jasa di mana konsumen melakukan aktivitas-aktivitas seperti melakukan pencarian, penelitian, dan mengevaluasi produk.rnrnBuku ini dibuat untuk memberikan pemahaman tentang pendidikan konsumen yang dipaparkan melalui pemahaman perilaku konsumen yang akan dibahas secara menyeluruh mulai dari definisi, jenis, proses hingga cara mengetahui masalah-masalah konsumen yang sering dihadapi ketika melakukan keputusan untuk membeli barang dan jasa."
375.0,Media dan Teknologi Pembelajaran,Buku,CV. Literasi Nusantara Abadi,2022,Dalam buku ini termuat kajian tentang media dan teknologi pembelajaranrnyang meliputi konsep dasar media pembelajaran; konsep dasarrnteknologi pembelajaran; belajar dan pembelajaran; blended learning;rnpembelajaran jarak jauh; e-learning; desain teknologi pembelajaran; implementasirnpenggunaan media dan teknologi pembelajaran; serta evaluasirnpengembangan media dan teknologi pembelajaran.
377.0,Instructional technology & media for learning : Teknologi pembelajaran dan media untuk belajar,Buku,Kencana,2011,"Buku ini menunjukkan bagaimana seluruh teknologi dan format media dapat diintegrasikan ke dalam pembelajaran kelas dengan menggunakan model ASSURE (analyze learners; state objectives; select instructional methods, media dan materials; utilize media and materials; require learner participation; evaluate and revise) untuk perencanaan pelajaran. ditujukan bagi para pendidik di seluruh level, u ntuk membantu pendidik menyertakan teknologi dan media ke dalam pengajaran."
379.0,CALL Teacher Education : Language Teachers and Technology Integration,Buku,Sense Publisher,2016,CALL Teacher Education is a practical resource for teacher trainers who are about to deal with the challenging and exciting task of preparing language teachers to integrate technology into their everyday professional practice.
384.0,Language Learning from Its Policy Perspectives,Buku,Bintang Semesta Media,2023,"As regards the learning process, there is no direct influence of language policy on a student’s way of learning and the outcomes. Teachers are the most dominant person in class. Students just rely on the teacher who teaches them. They just follow what the teacher tells them to do. In Indonesia, the dominance of a teacher is very pronounced. It is a bit different in the country like Australia where the role of teachers is not as dominant as in Indonesia because students are also given the opportunity to initiate talk in classrooms. As far as language learning is concerned, the teacher and students should share classroom power. This will give more chance for students to practice the target language if they are given more chance to speak and express their thoughts."
392.0,Pengantar Material Teknik,Text,SalembaTeknik,2010,"Buku ini memberikan pembahasan mengenai ilmu material secara umum, mencakup atom, molekul, dan ikatan antaratom. Selanjutnya, untuk memberikan pengetahuan kepada mahasiswa bagaimana karekteristik suatu material ditentukan, sifat-sifat mekanis material juga dibahas. Setelah pemahaman dasar tersebut, berbagai macam material, meliputi logam (fero dan non-fero), polimer (plastik), keramik, dan komposit dibahas lebih mendalam. Dapat digunakan sebagai pengantar terhadap material teknik dan ditujukan bagi mahasiswa teknik seluruh jurusan, khususnya mahasiswa tahun pertama, buku ini disusun dengan sumber referensi utama Materials Science and Engineering, An Introduction, karya William D. Callister, Jr., yang merupakan buku terbaik di bidang material teknik. Didukung oleh pengalaman mengajar selama kurang lebih 15 tahun dan serangkaian penelitian di bidang material yang dilakukan oleh penulis, buku ini juga dapat membantu mahasiswa dalam menyusun dan membangun pengetahuan mengenai berbagai jenis material, karektiristik, dan aplikasinya."
393.0,Data Mining - Algoritma dan Implementasi,Text,Andi,2020,"Data telah memiliki peran yang sangat penting di era saat ini. Dunia modern telah menjadikan data sebagai landasan dalam menyelesaikan berbagai persoalan yang dihadapi. Melalui data juga dapat dihasilkan berbagai informasi penting yang dapat menjadi salah satu alat bantu dalam pengambilan keputusan.  Data dalam ukuran yang sangat besar tentunya memerlukan teknik untuk menggali berbagai informasi dan pengetahuan yang dimiliki oleh data. Data mining merupakan salah satu teknik untuk membuat data yang berukuran besar menjadi informasi yang sangat penting. Data mining bertujuan menghasilkan berbagai pola yang sebelumnya tidak diketahui. Banyak persoalan di bidang ekonomi, bisnis, pertanian, kehutanan, pemerintahan, ekologi, dan lain sebagainya dapat diselesaikan dengan menggunakan data mining."
433.0,Total Quality Management,Text,Unknown,2016,"Dalam era globalisasi dan liberalisasi perdagangan, kunci untuk meningkatkan daya saing suatu perusahaan adalah kualitas. Hanya perusahaan yang mampu menghasilkan barang atau ajsa yang berkualitas kelas dunia yang dapat memenangkan persaingan global. Total Qualitu Maangement merupakan paradigma baru dalam menjalankan bisnis, yang berupaya untuk memaksimumkan daya saing organisasi melalui perbaikan secara berkesinambungan atas kualitas produk, jasa, manusia, proses dan lingkungan organisasi. Buku ini membahas berbagai konsep yang digunakan dalam TQM, seperti kualitas, fokus pada pelanggan, pelibatan dan pemberdayaan karyawan, kerjasama tim, pendekatan ilmiah, pelatihan, benchmarking, perbaikan berkesinambungan, dan pemanufakturan Just in Time. Oleh karenanya buku ini sangat bermanfaat bagi para mahasiswa dan praktisi.Pokok-pokok Bahasan:rnrn    Konsep Total Quality Managementrn    Perkembangan pemikiran mengenai kualitasrn    Kualitas sebagai alternatif peningkatan daya saingrn    Fokus pada pelangganrn    Pelibatan dan pemberdayaan karyawanrn    Kepemimpinan dan kerjasama timrn    Pengambilan keputusan dan pemecahan masalahrn    Pelatihan dan benchmarkingrn    Perbaikan berkesinambunganrn    Pemanufakturan just in timern    Implementasi Total Quality Management"
434.0,"Kewirausahaan, Technopreneurship Untuk Mahasiswa Ilmu-Ilmu Eksakta",Text,Unknown,2016,"Setelah membaca buku ini anda diharapkan dapat memilih falsafah dan gaya hidup yang konsisten dengan KWU, menumbuhkembangkan jiwa KWU anda , percaya diri untuk mampu menciptakan lapangan kerja sesuai dengan bidang ilmunya, bisa menjadi pemimpin dan berwiraswasta serta menjalin hubungan baik dan mampu menjual produk Anda. Selain itu, anda juga diharapkan dapat mendirikan dan mengelola usaha mandiri dengan menghormati HAK Kekayaan intelektual (HKI) dan hokum perjanjian yang ada, Bahkan melaksanakan etika yang ada ada dalam KWU, serta memiliki gambaran implementasinya"
435.0,Ekonomi Teknik Edisi 3,Text,Unknown,2016,"Buku Ekonomi Teknik ini sangat diperlukan oleh mereka yang belajar ilmu-ilmu teknik agar para insinyur atau sarjana teknik memiliki pengetahuan bagaimana melakukan penilaian kelayakan ekonomis bagi proyek-proyek teknis. Investasi teknis yang dimaksud di sini bisa diartikan sangat luas, bisa dalam bentuk penambahan alat produksi, pembangunan pabrik, penggantian teknologi, pembangunan kawasan wisata, pembuatan jembatan, dan sebagainya. Berbagai teknik mulai dari metode ekuivalensi yang sederhana sampai analisis titik impas dan analisis risiko disajikan pada buku ini. Setiap bab dilengkapi dengan contoh-contoh aplikasi serta pembahasannya."
437.0,Pengantar Teknologi Informasi,Text,Unknown,2016,Pengantar Teknologi Informasi-Murhada
439.0,Penerapan Data Mining Dengan Matlab,Text,Unknown,2016,"Buku ini merupakan kelanjutan dari buku sebelumnya tentang Soft Computing. Banyaknya pembaca yang berminat membuat sistem berbasis mesin pembelajaran (machine learning) membuat kami membuat buku yang kebanyakan diambil dari kasus-kasus yang telah dibuat oleh mahasiswa-mahasiswa tingkat sarjana dan pascasarjana.rnrnData Mining mengharuskan tersedianya data yang akan digali dan dicari informasi-informasi tersembunyi yang bermanfaat bagi pengambil keputusan. Namun untuk mempermudah proses belajar, dalam buku ini kami hanya menyediakan data-data sederhana yang sengaja dirancang mirip dengan data-data yang jumlahnya banyak yang diperoleh lewat riset di institusi tertentu. Akan tetapi, walaupun sederhana, prinsipnya dapat diterapkan langsung dengan data riil.rnrnBuku ini disusun dalam bentuk teori dasar singkat yang dilanjutkan dengan terapannya untuk kasus tertentu dengan bahasa pemrograman Matlab. Diharapkan pembaca melihat referensi yang kami cantumkan di akhir tulisan jika ingin memperdalam teori dasarnya. Setelah Bab I membahasa tinjauan singkat mengenai konsep Data Mining, kami lanjutkan dengan penerapannya lewat motode-metode tertentu. Setelah Bab II tentang Decision Tree selesai, dilanjutkan dengan metode-metode klasifikasi lain yang berbasis Soft Computing seperti Adaptive Neuro-Fuzzy lnference System (ANFIS), Jaringan Syaraf Tiruan (JST), Fuzzy C-means Clustering (FCM), dan Support Vector Machine (SVM).rnrnDisinggung sedikit untuk klasifikasi dengan k-Nearest Neighbourhood (k-NN) di bab yang membahas FCM sebagai perbandingan antara klasifikasi kasar (hard clustering) dengan klasifikasi lunak (soft clustering). Karena fungsi Bayes hanya ada.pada Matlab versi terbaru (Versi 2012), maka untuk algoritma ini tidak kami masukkan dalam buku ini. Untuk pembaca yang baru mengenal Matlab dapat melihat lampiran di akhir bab tentang instalasi Matlab dan teknik penggunaannya untuk matematis dan grafis, terutama untuk pembuatan Graphical User Interface (GUI) serta kompilasinya menjadi program yang dapat dieksekusi langsung (executable)."
